Player,Projection,Pos,Rank,Team,Bye,POS,CBS,Sleeper,RTSports,AVG,pos_rank,Cluster
Jordan Addison,143.5,WR,86.0,MIN,13.0,WR,,86.0,87.0,86.5,39.0,7
Courtland Sutton,141.95,WR,101.0,DEN,9.0,WR,,119.0,89.0,104.0,40.0,7
Treylon Burks,138.14,WR,116.0,TEN,7.0,WR,,116.0,120.0,118.0,42.0,7
Zay Flowers,133.81,WR,100.0,BAL,13.0,WR,,103.0,103.0,103.0,44.0,8
Michael Thomas,138.0,WR,102.0,NO,11.0,WR,,105.0,106.0,105.5,43.0,7
Jaxon Smith-Njigba,132.57,WR,90.0,SEA,5.0,WR,,83.0,96.0,89.5,45.0,8
JuJu Smith-Schuster,140.78,WR,111.0,NE,11.0,WR,,120.0,108.0,114.0,41.0,7
Nico Collins,127.54,WR,163.0,HOU,7.0,WR,,188.0,140.0,164.0,48.0,8
Allen Lazard,125.61,WR,132.0,NYJ,7.0,WR,,129.0,131.0,130.0,49.0,8
Odell Beckham Jr.,122.78,WR,114.0,BAL,13.0,WR,,114.0,118.0,116.0,52.0,8
Jakobi Meyers,129.51000000000002,WR,160.0,LV,13.0,WR,,173.0,151.0,162.0,46.0,8
Skyy Moore,129.45000000000002,WR,118.0,KC,10.0,WR,,142.0,98.0,120.0,47.0,8
Tyler Boyd,124.52999999999999,WR,166.0,CIN,7.0,WR,,155.0,176.0,165.5,50.0,8
DJ Chark Jr.,118.72999999999999,WR,216.0,CAR,7.0,WR,,202.0,226.0,214.0,57.0,8
Michael Gallup,118.74999999999999,WR,207.0,DAL,7.0,WR,,190.0,230.0,210.0,56.0,8
Darnell Mooney,119.22,WR,170.0,CHI,13.0,WR,,172.0,172.0,172.0,55.0,8
Zay Jones,123.02000000000001,WR,176.0,JAC,9.0,WR,,194.0,168.0,181.0,51.0,8
Marquez Valdes-Scantling,112.72,WR,208.0,KC,10.0,WR,,212.0,208.0,210.0,62.0,9
Romeo Doubs,119.59,WR,136.0,GB,6.0,WR,,164.0,122.0,143.0,54.0,8
DeVante Parker,113.35,WR,279.0,NE,11.0,WR,,,259.0,259.0,60.0,9
Quentin Johnston,114.21,WR,115.0,LAC,5.0,WR,,108.0,128.0,118.0,59.0,9
Adam Thielen,115.89000000000001,WR,130.0,CAR,7.0,WR,,132.0,125.0,128.5,58.0,9
Kadarius Toney,111.53,WR,113.0,KC,10.0,WR,,104.0,127.0,115.5,63.0,9
Jonathan Mingo,113.28999999999999,WR,182.0,CAR,7.0,WR,,178.0,194.0,186.0,61.0,9
Rondale Moore,121.75,WR,174.0,ARI,14.0,WR,,204.0,154.0,179.0,53.0,8
Curtis Samuel,111.10000000000002,WR,243.0,WAS,14.0,WR,,247.0,235.0,241.0,64.0,9
Van Jefferson,106.83000000000001,WR,211.0,LAR,10.0,WR,,217.0,206.0,211.5,67.0,9
Elijah Moore,106.53,WR,120.0,CLE,5.0,WR,,127.0,113.0,120.0,68.0,9
K.J. Osborn,108.07000000000001,WR,192.0,MIN,13.0,WR,,227.0,163.0,195.0,66.0,9
Marvin Mims Jr.,105.91,WR,171.0,DEN,9.0,WR,,179.0,167.0,173.0,70.0,9
Donovan Peoples-Jones,104.66,WR,177.0,CLE,5.0,WR,,228.0,136.0,182.0,71.0,9
Jayden Reed,105.94999999999999,WR,214.0,GB,6.0,WR,,216.0,211.0,213.5,69.0,9
Hunter Renfrow,111.08,WR,238.0,LV,13.0,WR,,223.0,249.0,236.0,65.0,9
