"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tim Jones","JAC","4.9","57.0","0.6","0.0","2.0","0.0","0.0","9.4"
"Equanimeous St. Brown","NO","4.3","56.8","0.6","0.0","2.0","0.0","0.0","9.4"
"Scotty Miller","PIT","5.1","63.8","0.2","0.0","1.3","0.0","0.0","7.8"
"Racey McMath","DAL","3.4","42.4","0.3","0.0","0.0","0.0","0.0","6.3"
"Tyler Johnson","LAR","3.4","40.4","0.3","0.0","0.0","0.0","0.0","6.0"
"Tylan Wallace","BAL","4.0","50.7","0.1","0.0","2.0","0.0","0.0","5.9"
"Andre Baccellia","ARI","3.8","41.7","0.3","0.0","0.0","0.0","0.0","5.9"
"River Cracraft","MIA","6.9","51.6","0.1","0.0","0.0","0.0","0.0","5.9"
"Dareke Young","SEA","3.4","39.8","0.3","0.0","0.0","0.0","0.0","5.5"
"Easop Winston Jr.","SEA","3.4","39.5","0.3","0.0","0.0","0.0","0.0","5.5"
"Tre'Quan Smith","DET","6.4","49.2","0.1","0.0","0.0","0.0","0.0","5.4"
"DJ Turner","LV","3.3","37.4","0.2","0.0","0.0","0.0","0.1","4.9"
"James Proche II","CLE","3.2","37.0","0.2","0.0","0.0","0.0","0.0","4.8"
"Miles Boykin","NYG","3.3","36.2","0.2","0.0","0.0","0.0","0.0","4.6"
"Britain Covey","PHI","3.6","38.9","0.1","0.0","0.0","0.0","0.0","4.5"
"Jha'Quan Jackson","TEN","4.0","41.0","0.0","0.0","0.0","0.0","0.0","4.1"
"Trishton Jackson","MIN","2.5","27.7","0.2","0.0","0.0","0.0","0.0","4.0"
"Andy Isabella","BUF","1.8","23.0","0.2","0.0","0.0","0.0","0.0","3.3"
"Velus Jones Jr.","CHI","1.9","25.0","0.1","0.0","3.0","0.0","0.0","3.3"
"N'Keal Harry","MIN","2.0","22.3","0.2","0.0","0.0","0.0","0.0","3.2"
"Tom Kennedy","DET","1.7","22.2","0.2","0.0","0.0","0.0","0.0","3.2"
"Daurice Fountain","DET","1.7","22.0","0.2","0.0","0.0","0.0","0.0","3.2"
"Maurice Alexander","DET","1.7","22.0","0.2","0.0","0.0","0.0","0.0","3.2"
"Montrell Washington","KC","1.8","21.2","0.2","0.0","0.0","0.0","0.0","3.1"
"Collin Johnson","CHI","1.7","20.5","0.2","0.0","0.0","0.0","0.0","3.1"
"Simi Fehoko","LAC","1.7","20.3","0.2","0.0","0.0","0.0","0.0","3.0"
"Braylon Sanders","MIA","1.8","20.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Erik Ezukanma","MIA","1.8","20.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Anthony Schwartz","MIA","1.7","20.0","0.2","0.0","0.0","0.0","0.0","3.0"
"Stanley Morgan Jr.","NO","1.7","19.7","0.2","0.0","0.0","0.0","0.0","3.0"
"Cephus Johnson III","TB","1.7","19.6","0.2","0.0","0.0","0.0","0.0","3.0"
"Cody White","SEA","1.7","19.5","0.2","0.0","0.0","0.0","0.0","3.0"
"Dax Milne","LV","1.7","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Colton Dowell","TEN","1.5","19.3","0.2","0.0","0.0","0.0","0.0","2.9"
"Mason Kinsey","TEN","1.5","19.3","0.2","0.0","0.0","0.0","0.0","2.9"
"Irvin Charles","NYJ","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.9"
"Malik Taylor","NYJ","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.9"
"Lance McCutcheon","NYJ","1.7","19.0","0.2","0.0","0.0","0.0","0.0","2.9"
"Jacob Harris","PHI","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.9"
"Juwann Winfree","IND","1.5","18.0","0.2","0.0","0.0","0.0","0.0","2.8"
"Byron Pringle","WAS","2.4","20.3","0.1","0.0","1.0","0.0","0.0","2.8"
"Kristian Wilkerson","LV","1.5","17.5","0.2","0.0","0.0","0.0","0.0","2.8"
"DeAndre Carter","CHI","2.0","21.0","0.0","0.0","6.0","0.0","0.0","2.7"
"Dez Fitzpatrick","PIT","1.4","16.7","0.2","0.0","0.0","0.0","0.0","2.7"
"Jalen Virgil","DEN","1.5","17.4","0.2","0.0","0.0","0.0","0.0","2.6"
"David Sills","DEN","1.5","16.4","0.1","0.0","0.0","0.0","0.0","2.5"
"Gunner Olszewski","NYG","1.7","17.8","0.1","0.0","0.0","0.0","0.0","2.4"
""
""
