Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Jonathan Mingo,CAR,WR,64.80000000000001,-79.0,-46.5,-65.9,Jonathan,Mingo,CAR,269.6
Troy Franklin,DEN,WR,66.7,-77.1,-44.6,-64.0,Troy,Franklin,DEN,142.9
Greg Dortch,ARI,WR,64.0,-79.8,-47.3,-66.7,Greg,Dortch,ARI,233.6
Kalif Raymond,DET,WR,60.9,-82.9,-50.4,-69.8,Kalif,Raymond,DET,300.0
Cedrick Wilson Jr,NO,WR,60.6,-83.2,-50.7,-70.1,,,,300.0
Trenton Irwin,CIN,WR,57.800000000000004,-86.0,-53.5,-72.9,,,,300.0
Alec Pierce,IND,WR,47.400000000000006,-96.4,-63.9,-83.3,Alec,Pierce,IND,300.0
Michael Gallup,LV,WR,52.1,-91.7,-59.2,-78.6,Michael,Gallup,LV,300.0
Andrei Iosivas,CIN,WR,48.3,-95.5,-63.0,-82.4,Andrei,Iosivas,CIN,300.0
Tutu Atwell,LAR,WR,44.0,-99.8,-67.3,-86.7,Tutu,Atwell,LAR,300.0
Calvin Austin III,PIT,WR,37.900000000000006,-105.9,-73.4,-92.8,,,,300.0
Jamison Crowder,WAS,WR,49.6,-94.2,-61.7,-81.1,,,,300.0
Devontez Walker,BAL,WR,37.8,-106.0,-73.5,-92.9,Devontez,Walker,BAL,215.1
Justin Watson,KC,WR,35.3,-108.5,-76.0,-95.4,,,,300.0
KhaDarel Hodge,ATL,WR,37.5,-106.3,-73.8,-93.2,,,,300.0
Treylon Burks,TEN,WR,34.300000000000004,-109.5,-77.0,-96.4,Treylon,Burks,TEN,283.6
Bub Means,NO,WR,36.7,-107.1,-74.6,-94.0,Bub,Means,NO,300.0
Tre Tucker,LV,WR,30.400000000000002,-113.4,-80.9,-100.3,Tre,Tucker,LV,293.7
Jake Bobo,SEA,WR,33.900000000000006,-109.9,-77.4,-96.8,,,,300.0
